Model,Before size,Current size,Waist,Hips,Leg,Shape,Other,Time,Notes
Saphiro,8-14,4-14,79,108,67,4,5 US,11:48,
Saphiro,Null,2-12,71,112,71,6,7 US,12:04,Modelo con faja
Saphiro,Null,4-12,75,112,71,6,7 US,12:13,Modelo sin faja
Saphiro,4-12,4-10,78,104,64,2,4 US,12:44,
Saphiro,8-14,6-14,84,107,66,2,6 US,13:19,
Saphiro,4-12,2-10,76,104,64,2,5 US - 7 US,13:30,
Saphiro,0-10,0-8,64,100,53,6,1 US,15:35,
Saphiro,Null,4-12,72,105,64,6,5US,15:35,
Saphiro,10-16,8-14,99,124,74,4,11 US,15:35,
Saphiro,Null,12-18,106,130,77,4,13 US,15:35,
Saphiro,4-10,2-8,79,100,59,1,2 US,15:35,
Saphiro,8-14,6-14,85,110,69,4,5 US,15:35,
Saphiro,16-20,12-18,119,128,79,5,14 US,15:35,
Saphiro,2-10,0-10,71,108,64,2,4 US,15:35,
